Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year
NCLH,2019,9.151,12.6965,89.856,37.3001,104432,7665 Corporate Center Drive,33126,Miami,0,0,0,1,0,0,0,4400,NORWEGIAN CRUISE LINE HLDGS,1513761,BMU,730.145,16684.599,252.876,95.427,0.0,3584.39,10169.02,13371.941,0.0,10.6,75.109,6515.579,3663.261,0.0,0.0,1208.169,4.33,930.228,930.228,6462.376,289.091,213.082,7048.062,58.41,64.51,15205.97,45.65,90.2,5963,3377.08,217.65
SIG,2019,27.877,20.7678,87.477,45.428,15520,"Clarendon House, 2 Church Street",HM11,Hamilton,0,0,0,0,0,1,0,5944,SIGNET JEWELERS LTD,832988,BMU,3154.8,6299.1,374.5,2331.7,3.5,1652.6,4459.5,2425.2,617.0,0.0,45.1,1839.6,3726.2,32.9,110.3,314.7,1.4,105.5,72.6,6137.1,35.6,52.3,2299.9,24.31,45.1,4420.1,102,2386.9,1816.9,3840.5,51.9
SIG,2020,27.877,20.7678,87.477,45.428,15520,"Clarendon House, 2 Church Street",HM11,Hamilton,0,0,0,0,0,1,0,5944,SIGNET JEWELERS LTD,832988,BMU,3582.0,6178.9,1172.5,2032.5,3.9,1998.7,4346.3,1967.7,642.3,25.5,140.4,1832.6,3317.0,33.5,33.5,146.5,-0.94,-15.2,-48.7,5226.9,32.0,52.3,1671.3,40.62,114.9,6299.1,45.1,2331.7,1839.6,3726.2,52.3
NCLH,2020,7.188,12.6965,89.856,36.6462,104432,7665 Corporate Center Drive,33126,Miami,0,0,0,1,0,0,0,4400,NORWEGIAN CRUISE LINE HLDGS,1513761,BMU,3557.544,18399.317,3300.482,82.381,0.0,1913.903,14045.212,13620.263,0.0,35.4,20.578,4354.105,1693.061,0.0,0.0,-1876.338,-15.75,-4012.514,-4012.514,1279.908,453.636,315.636,12009.233,25.43,-14.82,16684.6,64.51,95.43,6515.58,3663.26,213.08
BG,2020,37.36,22.2793,87.477,49.0896,144435,1391 Timberlake Manor Parkway,63017,Saint Louis,0,0,1,0,0,0,0,2040,BUNGE LTD,1144519,BMU,16181.0,23655.0,352.0,7172,1192.0,10985.0,17035.0,4643.0,690.0,93.0,2306.0,6069.0,38186.0,34.0,310.0,1429.0,7.97,1145.0,1121.0,41355.0,266.0,139.79,5276,65.58,2213.0,18317,2323,5038,5913,40044,141.81
BG,2019,37.058,22.2793,87.477,48.989,144435,1391 Timberlake Manor Parkway,63017,Saint Louis,0,0,1,0,0,0,0,2040,BUNGE LTD,1144519,BMU,10248.0,18317.0,320.0,5038,678.0,6595.0,11890.0,4928.0,690.0,0.0,2323.0,5913.0,40044.0,34.0,317.0,-723.0,-9.34,-1280.0,-1322.0,41140.0,340.0,141.813,4978,57.55,2323.0,19425,2367,5871,6173,42836,141.11
AOSL,2019,0.0,16.445,84.407,33.6787,184604,475 Oakmead Parkway,94085,Sunnyvale,0,0,1,0,0,0,0,3674,ALPHA AND OMEGA SEMICONDUCTO,1387467,BMU,295.298,739.394,121.893,111.643,0.364,177.964,296.105,409.737,0.0,0.03,55.444,291.024,303.504,0.0,0.0,-7.02,0.08,1.861,1.861,450.92,6.905,24.517,114.116,9.34,55.41,667.05,52,90.18,278.59,280.21,23.86
NBR,2020,39.988,25.1814,93.739,53.0228,1661,"Crown House, Second Floor, 4 Par-la-Ville Road",HM 08,Hamilton,1,0,0,0,0,0,0,1381,NABORS INDUSTRIES LTD,1163739,BMU,1131.465,5503.428,472.246,160.585,9.5,515.469,3803.78,4018.019,0.005,69.807,362.977,1151.384,1333.072,14.611,18.243,-294.056,-118.69,-805.641,-837.819,2134.043,206.974,7.293,3001.662,58.23,293.17,6760.66,391.26,176.34,1982.81,1929.33,363.4
HELE,2020,0.0,12.0617,84.979,32.4112,5572,1 Helen of Troy Plaza,79912,El Paso,0,0,1,0,0,0,0,3634,HELEN OF TROY LTD,916789,BMU,971.937,2263.488,45.12,481.611,0.0,614.892,1024.141,169.068,0.0,0.998,389.169,1239.347,1164.697,0.0,0.0,290.29,10.16,253.946,253.946,2098.799,12.617,24.406,387.954,216.8,388.17,1903.88,346.56,256.31,1161.72,968.67,25.19
NBR,2019,4.47,24.1536,93.046,40.6197,1661,"Crown House, Second Floor, 4 Par-la-Ville Road",HM 08,Hamilton,1,0,0,0,0,0,0,1381,NABORS INDUSTRIES LTD,1163739,BMU,1248.666,6760.658,435.99,176.341,16.506,656.548,4285.101,4977.196,0.006,61.782,453.042,1982.811,1929.331,17.244,32.197,-76.355,-2.11,-702.885,-741.122,3043.383,205.811,363.398,3380.095,2.88,391.26,7853.94,715.11,165.59,2700.85,1976.97,356.85
HELE,2019,0.0,12.0617,84.979,32.4112,5572,1 Helen of Troy Plaza,79912,El Paso,0,0,1,0,0,0,0,3634,HELEN OF TROY LTD,916789,BMU,682.836,1903.883,24.467,256.311,0.0,338.896,742.16,164.752,0.0,1.461,348.023,1161.723,968.666,0.0,0.0,225.11,6.06,152.333,152.333,1707.432,12.705,25.194,383.807,164.6,346.56,1649.54,278.25,302.34,996.64,918.95,24.95
AXTA,2019,44.911,33.4039,87.477,55.3063,22134,"50 Applied Bank Blvd, Suite 300",19342,Glen Mills,0,0,1,0,0,0,0,2851,AXALTA COATING SYSTEMS LTD,1616862,BMU,2573.4,6818.0,1017.5,591.6,3.0,1072.9,5408.4,1318.6,0.0,16.0,867.6,1354.2,2762.4,0.0,0.0,568.8,1.06,249.0,249.0,4482.2,164.6,234.9,3913.3,30.4,851.6,6675.7,892.6,613,1205.1,2922.9,235.6
TGH,2019,0.332,12.5756,62.041,25.0277,178552,"Century House, 16 Par-la-Ville Road",HM 08,Hamilton,0,0,0,0,0,0,1,7359,TEXTAINER GROUP HOLDINGS LTD,1413159,BMU,421.333,5202.617,180.552,53.214,0.0,299.845,3916.972,4168.555,0.0,6.299,174.543,1259.379,191.025,0.0,0.0,213.849,0.99,56.724,56.724,707.481,166.681,56.818,3811.465,10.71,168.24,4744.3,156.92,62.73,1206.81,177.92,57.4
AXTA,2020,44.911,33.4039,87.477,55.3063,22134,"50 Applied Bank Blvd, Suite 300",19342,Glen Mills,0,0,1,0,0,0,0,2851,AXALTA COATING SYSTEMS LTD,1616862,BMU,2925.9,7157.2,1360.9,559.9,3.1,1180.9,5677.4,1295.8,0.0,26.5,907.0,1433.0,2356.6,0.0,0.0,388.9,0.52,121.6,121.6,3737.6,151.9,234.8,3967.2,28.55,880.5,6818,851.6,591.6,1354.2,2762.4,234.9
TGH,2020,0.332,12.5756,62.041,25.0277,178552,"Century House, 16 Par-la-Ville Road",HM 08,Hamilton,0,0,0,0,0,0,1,7359,TEXTAINER GROUP HOLDINGS LTD,1413159,BMU,385.357,5741.376,131.018,25.004,0.0,685.382,4454.658,4136.129,0.0,2.93,217.728,1259.608,140.942,0.0,0.0,219.924,1.37,72.822,72.822,665.315,141.569,50.496,4127.98,19.18,214.8,5202.62,168.24,53.21,1259.38,191.03,56.82
URG,2019,0.0,10.9734,84.979,32.0491,165637,"10758 West Centennial Road, Suite 200",80127,Littleton,1,0,0,0,0,0,0,1090,UR ENERGY INC,1375205,CAN,8.659,90.39,7.752,0,0.0,2.283,46.057,66.842,0.0,0.0,0.022,44.333,25.862,0.0,0.0,-8.289,-0.05,-8.418,-8.418,32.255,0.668,160.478,12.227,0.5885,0.02,100.36,0.03,1.84,51.85,6.86,159.73
SSRM,2019,37.058,35.7618,84.979,52.6406,26768,"6900 E. Layton Avenue, Suite 1300",80237,Denver,1,0,0,0,0,0,0,1040,SSR MINING INC,921638,CAN,899.662,1750.107,503.647,237.57,66.453,234.171,616.153,769.462,0.0,0.0,71.828,1133.954,329.81,0.0,0.0,118.595,0.47,57.315,57.315,606.85,27.855,123.084,287.841,19.26,71.83,1521.14,31.96,232.75,974.15,245.11,120.74
SSRM,2020,56.358,37.3337,84.979,59.5916,26768,"6900 E. Layton Avenue, Suite 1300",80237,Denver,1,0,0,0,0,0,0,1040,SSR MINING INC,921638,CAN,1424.522,5244.986,860.637,437.379,26.748,248.933,1305.083,3565.905,0.0,0.0,83.491,3426.277,366.721,0.0,0.0,301.163,0.88,133.494,133.494,853.089,22.9,219.607,513.385,20.11,83.49,1750.11,71.83,237.57,1133.95,329.81,123.08
STKL,2019,16.793,9.6735,84.979,37.2095,12761,7078 Shady Oak Road,55344,Eden Prairie,0,0,1,0,0,0,0,2086,SUNOPTA INC,351834,CAN,489.954,923.359,1.498,323.546,0.0,405.664,710.926,252.983,82.524,3.12,128.925,210.545,1051.788,8.022,8.022,-0.502,-0.1,-0.758,-8.78,1190.022,35.583,88.09,314.426,2.5,125.81,896.74,136.57,361.96,211.64,1115.53,87.42
VBIV,2019,0.0,12.5756,83.594,32.1195,25289,"160 Second Street, Floor 3",2142,Cambridge,0,0,1,0,0,0,0,2836,VBI VACCINES INC,764195,CAN,46.963,122.201,44.213,1.075,0.0,29.757,33.946,11.654,0.0,0.0,0.439,88.255,6.7,0.0,0.0,-46.107,-0.46,-54.813,-54.813,2.221,3.031,178.257,16.304,1.38,0.44,137.61,0.06,0.91,98.13,3.97,97.34
PRMW,2019,0.332,13.6034,87.477,33.8698,20338,"1150 Assembly Drive, Suite 800",33607,Tampa,0,0,1,0,0,0,0,2086,PRIMO WATER CORP,884713,CAN,642.3,3390.9,205.5,122.5,0.0,607.6,2224.7,850.9,0.0,9.1,279.3,1166.2,973.9,0.0,32.6,114.8,0.02,2.9,2.9,2394.5,78.2,134.803,1477.1,13.68,270.2,3175.5,298.7,129.6,1170.4,1002.7,136.2
STKL,2020,16.793,9.6735,84.979,37.2095,12761,7078 Shady Oak Road,55344,Eden Prairie,0,0,1,0,0,0,0,2086,SUNOPTA INC,351834,CAN,249.323,585.615,0.251,147.748,0.0,136.451,252.686,193.22,114.9,1.257,79.659,332.929,658.774,10.328,10.328,12.317,0.75,77.518,67.19,789.213,30.894,90.194,107.055,11.67,78.4,923.36,125.81,323.55,210.55,1051.79,88.09
DOOR,2019,32.528,21.4027,84.979,46.3535,20696,1242 East 5th Avenue,33605,Tampa,0,0,1,0,0,0,0,2430,MASONITE INTERNATIONAL CORP,893691,CAN,734.055,1936.584,166.964,242.23,10.644,267.667,1299.722,746.952,0.0,1.752,281.027,624.882,1628.264,0.0,0.0,167.116,1.77,44.602,44.602,2176.683,46.489,24.87,949.322,72.21,279.28,1778.47,284.97,250.41,610.44,1675.71,25.84
NOVT,2019,14.376,14.4196,75.888,34.9462,61356,125 Middlesex Turnpike,1730,Bedford,0,0,1,0,0,0,0,3679,NOVANTA INC,1076930,CAN,304.512,869.736,78.944,116.618,0.0,134.846,452.564,112.736,0.0,0.297,91.078,417.172,340.321,0.0,0.0,73.126,1.16,40.773,40.773,626.099,8.493,35.052,275.668,88.44,90.78,719.58,83.63,104.76,368.26,331.31,34.89
NOVT,2020,15.615,16.0822,90.548,40.8108,61356,125 Middlesex Turnpike,1730,Bedford,0,0,1,0,0,0,0,3679,NOVANTA INC,1076930,CAN,304.173,865.179,125.054,92.737,0.0,114.229,388.37,113.12,0.0,0.274,75.054,476.809,321.32,0.0,0.0,60.161,1.27,44.521,44.521,590.623,6.564,35.163,255.053,118.22,74.78,869.74,90.78,116.62,417.17,340.32,35.05
UUUU,2019,2.416,11.6687,90.548,34.9462,107712,"225 Union Boulevard, Suite 600",80228,Lakewood,1,0,0,0,0,0,0,1090,ENERGY FUELS INC,1385849,CAN,43.172,175.72,12.81,22.808,4.838,22.638,45.113,110.664,0.0,0.0,1.254,126.911,17.085,0.0,0.0,-40.581,-0.4,-37.978,-37.978,5.865,1.491,100.736,17.428,1.91,1.25,196.77,1.19,16.55,141.09,18.04,91.45
SLB,2019,38.387,46.9468,100.0,61.8248,9465,"5599 San Felipe, 17th Floor",77056,Houston,1,0,0,0,0,0,0,1389,SCHLUMBERGER LTD,87347,CUW,15530.0,56312.0,1137.0,4130,1030.0,13098.0,32136.0,11138.0,0.0,255.0,7747.0,23760.0,25838.0,0.0,2770.0,3006.0,-7.32,-10137.0,-10137.0,32917.0,609.0,1384.515,16705,40.2,7492.0,70507,7632,4010,36162,25479,1382.96
SLB,2020,38.387,46.9468,100.0,61.8248,9465,"5599 San Felipe, 17th Floor",77056,Houston,1,0,0,0,0,0,0,1389,SCHLUMBERGER LTD,87347,CUW,12919.0,42434.0,844.0,3354,2162.0,10491.0,29945.0,7943.0,0.0,301.0,5247.0,12071.0,18855.0,0.0,1215.0,1656.0,-7.57,-10518.0,-10518.0,23601.0,563.0,1392.326,17897,21.83,4946.0,56312,7492,4130,23760,25838,1384.52
HLF,2020,20.87,28.295,84.979,44.7641,14269,PO Box 80210,90080-0210,Los Angeles,0,0,0,0,1,0,0,5122,HERBALIFE NUTRITION LTD,1180262,CYM,1775.8,3076.1,1045.4,501.4,2.5,1127.3,3932.2,613.0,0.0,3.3,89.2,-856.1,2821.3,0.0,0.0,709.2,2.83,372.6,372.6,5541.8,133.0,120.1,2670.6,48.05,85.9,2678.6,88.5,436.2,-390,2387.3,137.4
HLF,2019,20.115,28.295,84.979,44.5126,14269,PO Box 80210,90080-0210,Los Angeles,0,0,0,0,1,0,0,5122,HERBALIFE NUTRITION LTD,1180262,CYM,1488.2,2678.6,839.4,436.2,2.5,964.4,3068.6,561.0,0.0,2.5,91.0,-390.0,2387.3,0.0,0.0,625.1,2.26,311.0,311.0,4877.1,153.0,137.4,2010.3,47.67,88.5,2789.8,77.8,381.8,-723.4,2263.7,142.8
ICHR,2019,15.282,22.7932,84.979,41.0723,29191,3185 Laurelview Court,94538,Fremont,0,0,1,0,0,0,0,3559,ICHOR HOLDINGS LTD,1652535,CYM,276.947,566.555,60.612,127.037,0.0,163.867,345.139,58.739,0.0,0.295,84.849,221.416,525.49,0.0,0.0,16.752,0.48,10.729,10.729,620.837,10.647,22.619,192.627,33.27,84.55,485.49,39.95,121.11,198.33,674.94,22.24
SGH,2019,28.088,21.2213,84.979,44.8144,31494,1390 McCarthy Boulevard,95035,Milpitas,0,0,1,0,0,0,0,3674,SMART GLOBAL HOLDINGS INC,1616533,CYM,472.26,704.137,98.139,118.738,3.044,237.9,430.677,68.345,0.0,0.184,231.704,273.46,950.314,0.0,0.0,89.303,2.24,51.332,51.332,1211.999,20.716,23.617,206.504,28.41,231.52,672.76,242.35,221.42,187.13,977.18,22.48
CMBM,2020,0.332,11.0339,62.041,24.5146,35373,"3800 Golf Road, Suite 360",60008,Rolling Meadows,0,0,1,0,0,0,0,3663,CAMBIUM NETWORKS CORP,1738177,CYM,165.135,205.753,62.472,33.962,0.0,107.611,142.366,12.618,0.0,0.919,59.534,63.387,138.42,0.0,0.0,26.783,0.72,18.575,18.575,278.459,5.326,26.035,59.657,25.08,58.62,172.48,58.05,41.67,39.93,135.17,25.67
CMBM,2019,0.332,11.0339,62.041,24.5146,35373,"3800 Golf Road, Suite 360",60008,Rolling Meadows,0,0,1,0,0,0,0,3663,CAMBIUM NETWORKS CORP,1738177,CYM,129.317,172.479,19.346,41.67,0.0,67.868,132.55,15.186,0.0,0.58,58.628,39.929,135.173,0.0,0.0,2.187,-0.69,-17.601,-17.601,267.028,7.549,25.673,71.072,8.74,58.05,142.06,60.57,30.71,-20.57,126.01,0.08
TROX,2019,44.79,31.3482,84.407,53.556,164363,"263 Tresser Boulevard, Suite 1100",6901,Stamford,0,0,1,0,0,0,0,2810,TRONOX HOLDINGS PLC,1530804,GBR,2073.0,5268.0,302.0,1131,9.0,702.0,4352.0,2715.0,0.0,0.0,502.0,748.0,1804.0,0.0,27.0,282.0,-0.78,-109.0,-109.0,2642.0,202.0,141.9,3126,11.42,502.0,4642,319,479,683,1149,122.93
ST,2019,0.0,15.1451,87.477,34.2722,183942,529 Pleasant Street,2703,Attleboro,0,0,1,0,0,0,0,3823,SENSATA TECHNOLOGES HLDG PLC,1477294,GBR,1965.652,6834.519,774.119,506.678,0.0,634.746,4260.764,886.331,0.0,0.0,557.874,2573.755,2151.571,0.0,0.0,610.445,1.76,282.714,282.714,3450.631,158.554,157.828,3312.613,53.87,557.87,6797.69,581.77,492.32,2608.43,2160.85,164.15
ST,2020,35.125,47.7328,87.477,56.8152,183942,529 Pleasant Street,2703,Attleboro,0,0,1,0,0,0,0,3823,SENSATA TECHNOLOGES HLDG PLC,1477294,GBR,2979.972,7844.202,1861.98,451.005,0.0,1495.157,5138.716,853.805,0.0,0.0,576.647,2705.486,1964.164,0.0,0.0,400.031,1.04,164.286,164.286,3045.578,171.757,157.635,4053.579,52.74,576.65,6834.52,557.87,506.68,2573.76,2151.57,157.83
TROX,2020,45.515,38.3313,84.979,56.3122,164363,"263 Tresser Boulevard, Suite 1100",6901,Stamford,0,0,1,0,0,0,0,2810,TRONOX HOLDINGS PLC,1530804,GBR,2529.0,6568.0,619.0,1137,29.0,805.0,4697.0,2643.0,0.0,0.0,562.0,1698.0,1857.0,0.0,42.0,298.0,6.76,969.0,969.0,2758.0,191.0,143.557,3401,14.62,562.0,5268,502,1131,748,1804,141.9
GTES,2019,17.88,20.7981,87.477,42.1084,32886,1144 Fifteenth Street,80202,Denver,0,0,1,0,0,0,0,3560,GATES INDUSTRIAL CORP PLC,1718512,GBR,1958.6,7411.3,635.3,475.1,2.1,658.1,4400.6,850.9,0.0,8.6,716.8,2651.0,1721.2,0.0,0.0,366.4,2.38,690.1,690.1,3087.1,151.7,290.157,3094.4,13.76,708.2,6722.6,742.1,537.6,1947.4,1798.5,289.85
IGT,2019,43.642,29.3229,75.226,49.4316,245918,"Marble Arch House, 2nd Floor, 66 Seymour Street",W1H 5BT,London,0,0,0,0,0,0,1,7990,INTL GAME TECHNOLOGY PLC,1619762,GBR,2634.037,13644.59,662.934,161.79,231.317,2468.351,11159.612,1831.119,0.0,79.604,1457.705,1658.262,2232.484,0.0,163.503,735.27,-0.09,-19.025,-19.025,4785.806,423.415,204.435,8468.553,14.97,1378.1,13648.5,1252.48,282.7,1807.9,2236.09,204.21
IGT,2020,43.642,29.3229,75.226,49.4316,245918,"Marble Arch House, 2nd Floor, 66 Seymour Street",W1H 5BT,London,0,0,0,0,0,0,1,7990,INTL GAME TECHNOLOGY PLC,1619762,GBR,3440.085,12992.488,907.015,169.207,199.246,2615.041,11431.325,1520.658,0.0,58.421,1231.31,776.737,1422.145,0.0,40.887,237.914,-4.39,-897.89,-897.89,3115.456,417.872,204.857,8602.046,16.94,1172.89,13644.59,1378.1,161.79,1658.26,2232.48,204.44
ADNT,2019,47.75,12.6058,84.979,48.4961,27333,"25-28 North Wall Quay, IFSC",D01 H104,Dublin,0,0,1,0,0,0,0,2531,ADIENT PLC,1670541,IRL,4116.0,10342.0,924.0,793,0.0,3835.0,8102.0,1671.0,0.0,14.0,2123.0,1848.0,15414.0,0.0,26.0,164.0,-5.25,-491.0,-491.0,16526.0,180.0,93.621,3716,22.96,2109.0,10942,2416,824,2392,16047,93.4
ADNT,2020,49.32,15.8404,84.979,50.0956,27333,"25-28 North Wall Quay, IFSC",D01 H104,Dublin,0,0,1,0,0,0,0,2531,ADIENT PLC,1670541,IRL,4482.0,10261.0,1692.0,685,0.0,3819.0,8683.0,1915.0,0.0,10.0,1804.0,1213.0,11773.0,0.0,0.0,61.0,-5.83,-547.0,-547.0,12670.0,234.0,93.894,4444,17.33,1794.0,10342,2109,793,1848,15414,93.62
TSE,2019,54.576,25.9069,84.979,55.1957,187551,"1000 Chesterbrook Boulevard, Suite 300",19312,Berwyn,0,0,1,0,0,0,0,2821,TRINSEO PLC,1519061,IRL,1491.1,2758.8,456.2,438.2,1.2,527.6,2089.9,697.2,0.0,5.3,570.8,668.9,3317.0,0.0,64.2,107.5,2.28,92.0,92.0,3775.8,39.3,39.0,1245.8,37.21,565.5,2726.8,642,510.4,768.7,3968.6,41.6
ETN,2019,41.468,26.6324,93.739,53.9986,4199,"Eaton House, 30 Pembroke Road",D04 Y0C2,Dublin,0,0,1,0,0,0,0,3620,EATON CORP PLC,1551182,IRL,8728.0,32805.0,370.0,2805,221.0,5132.0,16672.0,3932.0,0.0,49.0,3538.0,16082.0,13519.0,0.0,1201.0,2889.0,5.28,2211.0,2211.0,21390.0,236.0,413.3,8519,94.72,3489.0,31092,3897,2785,16107,13670,423.6
TSE,2020,55.995,29.5345,90.548,58.7365,187551,"1000 Chesterbrook Boulevard, Suite 300",19312,Berwyn,0,0,1,0,0,0,0,2821,TRINSEO PLC,1519061,IRL,1517.1,2845.2,588.7,384.1,1.2,533.3,2254.9,679.7,0.0,5.8,529.2,590.3,2598.8,0.0,49.7,110.2,0.2,7.9,7.9,3035.5,45.7,38.4,1252.5,51.21,523.4,2758.8,565.5,438.2,668.9,3317,39
ETN,2020,43.189,27.2672,93.739,54.7832,4199,"Eaton House, 30 Pembroke Road",D04 Y0C2,Dublin,0,0,1,0,0,0,0,3620,EATON CORP PLC,1551182,IRL,9178.0,31824.0,438.0,2109,664.0,5881.0,16851.0,3392.0,0.0,48.0,2994.0,14930.0,11658.0,0.0,1175.0,1824.0,3.51,1410.0,1410.0,17858.0,149.0,398.1,8499,120.14,2946.0,32805,3489,2805,16082,13519,413.3
STE,2019,16.793,11.4873,87.477,38.648,25313,"70 Sir John Rogerson's Quay, Dublin 2",D02 R296,Dublin,0,0,1,0,0,0,0,3841,STERIS PLC,1757898,IRL,1208.751,5425.582,319.581,248.259,0.0,503.607,2018.858,1243.692,0.0,0.0,586.481,3393.876,1509.209,0.0,123.034,555.154,4.81,407.605,407.605,3030.895,40.707,84.924,1284.444,139.97,586.48,5073.07,564.83,208.24,3177.81,1368.96,84.52
STE,2020,16.793,17.2007,87.477,40.5492,25313,"70 Sir John Rogerson's Quay, Dublin 2",D02 R296,Dublin,0,0,1,0,0,0,0,3841,STERIS PLC,1757898,IRL,1211.754,6574.471,220.531,315.067,0.0,577.92,2683.003,1385.542,0.0,0.0,609.406,3880.99,1524.135,0.0,133.837,607.858,4.66,397.4,397.4,3107.519,39.178,85.353,1802.987,190.48,609.41,5425.58,586.48,248.26,3393.88,1509.21,84.92
WFRD,2019,48.596,19.4377,93.739,53.9785,4367,2000 St. James Place,77056,Houston,1,0,0,0,0,0,0,1381,WEATHERFORD INTL PLC,1603923,IRL,3453.0,7293.0,618.0,972,232.0,1672.0,4377.0,2378.0,0.0,0.0,1244.0,2880.0,3580.0,0.0,0.0,71.0,51.93,3635.0,3635.0,5215.0,374.0,70.0,2453,0.019,1244.0,6601,1011,1025,-3705,3958,1002
JCI,2020,69.616,51.2999,93.739,71.5823,6268,One Albert Quay,T12 X8N6,Cork,0,0,1,0,0,0,0,3585,JOHNSON CONTROLS INTL PLC,833444,IRL,10053.0,40815.0,1951.0,1773,9.0,8248.0,22282.0,4249.0,0.0,173.0,5338.0,17447.0,14084.0,0.0,780.0,1746.0,0.84,631.0,631.0,22317.0,267.0,726.223,8995,40.85,5165.0,42287,5597,1814,19766,15450,777.63
HZNP,2020,16.038,17.0798,74.202,35.8213,185355,70 St. Stephen's Green,2,Dublin,0,0,1,0,0,0,0,2836,HORIZON THERAPEUTICS PUB LTD,1492426,IRL,3070.408,6072.616,2079.906,75.283,21.996,875.74,2047.265,223.437,0.0,0.0,659.701,4025.351,277.477,0.0,0.0,536.488,1.91,389.796,389.796,2200.429,59.616,221.337,1050.679,73.15,659.7,4436.03,408.69,53.8,2185.45,130.27,188.02
JCI,2019,69.616,51.2999,93.739,71.5823,6268,One Albert Quay,T12 X8N6,Cork,0,0,1,0,0,0,0,3585,JOHNSON CONTROLS INTL PLC,833444,IRL,12393.0,42287.0,2805.0,1814,16.0,9070.0,21458.0,3348.0,0.0,173.0,5770.0,19766.0,15450.0,0.0,887.0,1223.0,6.52,5674.0,5674.0,23968.0,369.0,777.631,7209,43.89,5597.0,48797,6888,3224,21164,20935,925.01
WFRD,2020,33.253,20.4655,87.477,47.118,4367,2000 St. James Place,77056,Houston,1,0,0,0,0,0,0,1381,WEATHERFORD INTL PLC,1603923,IRL,3177.0,5434.0,1118.0,717,167.0,1362.0,4497.0,1374.0,0.0,32.0,833.0,907.0,2304.0,0.0,0.0,-56.0,-27.44,-1921.0,-1921.0,3685.0,251.0,70.0,2858,6.0,801.0,7293,1244,972,2880,3580,70
HZNP,2019,0.0,12.1221,76.972,29.7556,185355,70 St. Stephen's Green,2,Dublin,0,0,1,0,0,0,0,2836,HORIZON THERAPEUTICS PUB LTD,1492426,IRL,1686.103,4436.034,1076.287,53.802,16.456,723.169,2250.585,69.959,0.0,0.0,408.685,2185.449,130.27,0.0,0.0,140.389,3.13,573.02,573.02,1300.029,87.089,188.018,1403.741,36.2,408.69,4146.37,464.73,55.29,1054.16,134.12,168.86
ARKO,2020,0.332,11.7291,72.818,28.3472,312066,"8565 Magellan Parkway, Suite 400",23227-1150,Richmond,0,0,0,0,0,1,0,5500,ARKO CORP,1823794,ISR,609.406,2739.809,293.666,163.686,17.759,387.051,2421.934,1651.391,100.0,0.569,92.864,318.036,3163.749,3.277,3.277,88.183,0.14,13.187,9.91,3409.415,50.114,124.132,2006.637,9.0,92.3,1847.37,59.46,157.75,65.77,3504.82,65.54
RCL,2019,46.089,21.6143,91.24,53.0329,28191,1050 Caribbean Way,33132-2096,Miami,0,0,0,1,0,0,0,4400,ROYAL CARIBBEAN GROUP,884887,LBR,1162.628,30320.284,243.738,162.107,0.0,7952.896,17586.457,26154.363,0.0,0.0,305.821,12163.846,6048.235,0.0,618.843,2111.305,8.97,1878.887,1878.887,10950.661,465.013,208.801,10299.313,133.51,305.82,27698.27,324.51,153.57,11105.46,5262.21,209.02
RCL,2020,46.089,21.6143,91.24,53.0329,28191,1050 Caribbean Way,33132-2096,Miami,0,0,0,1,0,0,0,4400,ROYAL CARIBBEAN GROUP,884887,LBR,4311.747,32465.187,3684.474,118.703,0.0,4537.121,23704.518,25846.58,0.0,0.0,284.149,8760.669,2765.108,0.0,163.089,-2983.324,-27.05,-5797.462,-5797.462,2208.805,862.229,237.399,19586.277,74.69,284.15,30320.28,305.82,162.11,12163.85,6048.24,208.8
NETI,2019,3.896,16.8682,62.041,27.6431,315887,"Le Millenium, 9, Boulevard Charles III",98000,Monaco,0,0,0,1,0,0,0,4412,ENETI INC,1587264,MHL,65.286,1665.559,42.53,6.371,0.0,123.833,790.592,1311.148,0.0,0.0,5.954,874.967,122.545,0.0,5.748,15.837,0.66,44.654,44.654,224.579,48.354,72.483,767.529,6.37,5.95,1703.83,7.34,3.6,860.8,110.2,71.22
GNK,2020,31.713,15.2963,83.594,43.5872,163930,"299 Park Avenue, 12th Floor",10171,New York,0,0,0,1,0,0,0,4412,GENCO SHIPPING & TRADING,1326200,MHL,247.202,1232.809,143.872,22.084,35.492,113.621,487.815,932.389,0.0,0.0,14.908,744.994,260.31,0.0,9.887,7.453,-5.38,-225.573,-225.573,355.56,22.413,41.802,449.401,7.36,14.91,1528.89,15.74,27.85,978.43,290.92,41.75
