Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year
MRK,2020,69.647,61.3059,93.739,74.922,7257,2000 Galloping Hill Road,7033,Kenilworth,0,0,1,0,0,0,0,2834,MERCK & CO,310158,USA,27764.0,91588.0,8062.0,6310,102.0,27327.0,66184.0,19711.0,0.0,85.0,8288.0,25317.0,9967.0,0.0,6307.0,14615.0,2.79,7067.0,7067.0,47994.0,831.0,2530.226,29322,81.8,8203.0,84397,7019,5978,25907,9675,2539.02
ITGR,2019,0.0,13.0895,84.979,32.7532,140073,"5830 Granite Parkway, Suite 1150",75024,Plano,0,0,1,0,0,0,0,3845,INTEGER HOLDINGS CORP,1114483,USA,415.395,2353.093,13.535,167.256,0.0,179.078,1200.605,288.564,0.0,2.443,216.752,1152.488,852.154,0.0,0.0,169.786,2.95,96.336,96.336,1258.094,50.0,32.7,859.393,80.43,214.31,2326.68,184.91,190.08,1060.49,798.14,32.47
KMT,2020,22.622,25.786,87.477,45.3476,6386,"525 William Penn Place, Suite 3300",15219,Pittsburgh,0,0,1,0,0,0,0,3540,KENNAMETAL INC,55242,USA,1440.812,3037.591,606.684,522.447,0.0,898.08,1768.803,1086.306,0.0,9.43,237.983,1229.885,1235.647,0.0,66.303,141.362,-0.07,-5.661,-5.661,1885.305,35.154,82.923,642.701,28.71,228.55,2656.27,369.77,571.58,1335.17,1443.63,82.42
CRS,2019,16.672,17.4728,84.979,39.7646,2787,"1735 Market Street, 15th Floor",19103,Philadelphia,0,0,1,0,0,0,0,3312,CARPENTER TECHNOLOGY CORP,17843,USA,1236.2,3187.8,27.0,787.7,0.0,416.0,1667.7,1366.2,0.0,3.7,384.1,1520.1,1825.3,0.0,38.6,231.2,3.46,167.0,165.1,2380.2,31.1,47.47,550.6,47.98,380.4,3007,375.9,689.2,1485.9,1658.9,47.19
AYI,2020,0.755,12.5756,79.079,30.8621,146017,"1170 Peachtree Street, N.E., Suite 2300",30309-7676,Atlanta,0,0,1,0,0,0,0,3640,ACUITY BRANDS INC,1144215,USA,1439.7,3491.7,560.7,320.1,0.0,617.6,1364.2,333.9,0.0,2.6,500.3,2127.5,1863.3,0.0,20.8,377.8,6.29,248.3,248.3,3326.3,26.4,38.873,475.1,109.29,497.7,3172.4,560,340.8,1918.9,2133.4,39.45
PGEN,2020,0.0,12.5756,84.287,32.3509,18315,20374 Seneca Meadows Parkway,20876,Germantown,0,0,1,0,0,0,0,2836,PRECIGEN INC,1356090,USA,148.948,314.587,51.792,11.359,48.325,42.127,247.413,44.277,0.0,6.334,20.427,67.174,40.421,0.0,0.0,-73.032,-1.02,-170.521,-170.521,103.178,18.4,187.663,182.283,10.2,14.09,455.76,18.72,16.1,71.71,41.61,163.28
GKOS,2020,7.822,35.792,84.979,42.9132,23990,229 Avenida Fabricante,92672,San Clemente,0,0,1,0,0,0,0,3841,GLAUKOS CORP,1192448,USA,469.442,1005.502,96.596,15.809,307.772,49.702,338.053,95.46,0.0,1.67,36.059,667.449,34.719,0.0,0.0,-93.753,-2.7,-120.348,-120.348,224.959,14.115,45.247,271.995,75.26,34.39,818.4,37.18,42.58,673.27,28.48,43.5
VTOL,2019,0.0,12.5756,71.824,28.1863,8092,"3151 Briarpark Drive, Suite 700, 7th Floor",77042,Houston,0,0,0,1,0,0,0,4522,BRISTOW GROUP INC,1525221,USA,524.151,1945.261,196.662,82.419,2.459,297.978,1369.26,1182.716,149.785,0.368,180.683,576.27,969.316,25.788,25.788,10.015,-64.34,-697.186,-722.974,1242.986,78.002,11.236,867.203,0.0086,180.32,2652.6,215.17,121.31,805.22,1143.7,35.92
GOOGL,2020,44.669,33.2527,91.24,56.433,160329,1600 Amphitheatre Parkway,94043,Mountain View,0,0,0,0,0,0,1,7370,ALPHABET INC,1652044,USA,174296.0,319616.0,26465.0,728,110229.0,56834.0,97072.0,96960.0,0.0,789.0,31384.0,222544.0,71053.0,0.0,0.0,41224.0,59.15,40269.0,40269.0,182527.0,353.0,675.222,26873,1752.64,30595.0,275909,27492,999,201442,60245,688.34
KAI,2020,36.092,17.8658,87.477,47.1985,25922,One Technology Park Drive,1886,Westford,0,0,1,0,0,0,0,3550,KADANT INC,886346,USA,289.82,927.571,65.682,106.814,0.958,134.688,430.666,110.102,0.0,2.977,99.116,495.359,345.513,0.0,11.045,84.588,4.81,55.196,55.196,635.028,7.423,11.542,260.068,140.98,96.14,939.39,106.2,102.72,425.7,398.65,11.41
